district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,3,2023-01-22,56,145,48.3,36.6,36.6,0,16,5,5.9,6.9,6.9,5.9
Citywide,Rape,435,396,224,204,5,2023-01-22,236,824,274.7,-48.5,-40.4,15.7,-14,48.6,27.5,25,28.9,33.7
Citywide,Robbery,3228,3099,2404,2242,144,2023-01-22,2395,7745,2581.7,-27.7,-22.7,6.8,-7,380.2,294.9,275,293.8,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,138,2023-01-22,2596,7111,2370.3,-6.5,1.9,9,10,312.4,267.8,292.1,318.4,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,1,2023-01-22,17,104,34.7,-43.1,-66.7,-41.4,-51,6.3,2.9,3.6,2.1,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-01-22,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,284,2023-01-22,5880,19753,6584.3,45.5,18.5,-18.5,-11,608.6,929.2,885.3,721.3,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,1493,2023-01-22,35197,98853,32951,-25.9,-16.2,13,7,5154.8,3151.6,3819.8,4317.6,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,283,2023-01-22,6181,16554,5518,35.7,39.1,2.5,12,544.9,746.1,739.7,758.2,676.9
Citywide,Arson,288,285,411,387,18,2023-01-22,288,1083,361,35.8,1.1,-25.6,-20,35,50.4,47.5,35.3,44.3
