district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,7,2023-02-26,57,145,48.3,36.6,39,1.8,18,5,5.9,6.9,7,5.9
Citywide,Rape,435,396,224,204,26,2023-02-26,228,824,274.7,-48.5,-42.4,11.8,-17,48.6,27.5,25,28,33.7
Citywide,Robbery,3228,3099,2404,2242,410,2023-02-26,2443,7745,2581.7,-27.7,-21.2,9,-5,380.2,294.9,275,299.7,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,353,2023-02-26,2593,7111,2370.3,-6.5,1.8,8.9,9,312.4,267.8,292.1,318.1,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,2,2023-02-26,16,104,34.7,-43.1,-68.6,-44.8,-54,6.3,2.9,3.6,2,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-02-26,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,850,2023-02-26,5938,19753,6584.3,45.5,19.7,-17.7,-10,608.6,929.2,885.3,728.4,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,4313,2023-02-26,34938,98853,32951,-25.9,-16.9,12.2,6,5154.8,3151.6,3819.8,4285.8,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,917,2023-02-26,6122,16554,5518,35.7,37.8,1.5,11,544.9,746.1,739.7,751,676.9
Citywide,Arson,288,285,411,387,57,2023-02-26,302,1083,361,35.8,6,-22,-16,35,50.4,47.5,37,44.3
